 A000020 ,"57,363","179,106","62,513","121,743","59,230","223,201","55,860","165,546","32,626","101,648","36,787","69,021","32,235","126,622","32,384","95,873","24,737","77,459","25,726","52,722","26,996","96,579","23,476","69,672","22,656","66,705","23,617","44,049","20,432","91,766","24,534","67,201","2,081","10,754","2,109","8,672","6,563","4,813","-1,058","2,471",234,528,109,294,185,"1,188",135,816,"2,315","11,282","2,219","8,967","6,748","6,001",-923,"3,287",877,"4,081","1,240","3,204","1,963",392,-119,515,"1,438","7,201",978,"5,763","4,785","5,609",-804,"2,772",0,0,0,0,0,0,0,0,"1,438","7,201",978,"5,763","4,785","5,609",-804,"2,772",-518,84,-610,602,"1,212","-1,107",-952,823,920,"7,285",369,"6,365","5,997","4,502","-1,756","3,595","328,424","330,912","324,279","317,187","319,182","149,677","149,946","141,711","135,015","132,507","178,747","180,967","182,568","182,172","186,674","93,234","96,643","90,378","87,069","89,971","71,579","76,187","71,083","68,981","72,199","21,655","20,456","19,295","18,088","17,772","235,190","234,270","233,901","230,118","229,210"
 A000040 ,"25,594","73,681","29,295","48,087","18,792","83,359","26,128","65,649","21,409","64,381","24,950","42,972","18,022","81,355","24,876","62,348","4,185","9,300","4,345","5,115",770,"2,005","1,252","3,300","3,337","10,164","3,427","6,827","3,400","16,839","3,683","11,659",848,-865,918,"-1,712","-2,630","-14,835","-2,431","-8,359","-2,679","-3,981",-554,"-1,302",-747,-811,"1,471","1,011","-1,831","-4,845",364,"-3,014","-3,378","-15,645",-960,"-7,347",0,0,0,0,0,0,0,0,"-1,831","-4,845",364,"-3,014","-3,378","-15,645",-960,"-7,347",0,0,0,0,0,0,0,0,"-1,831","-4,845",364,"-3,014","-3,378","-15,645",-960,"-7,347",0,0,0,0,0,532,0,0,"-1,831","-4,845",364,"-3,014","-3,378","-15,114",-960,"-7,347","155,070","154,718","146,207","158,427","169,533","84,119","85,885","76,997","84,727","96,192","70,951","68,834","69,211","73,700","73,341","90,256","88,326","80,777","89,723","93,481","75,334","73,471","66,109","75,193","72,288","14,922","14,854","14,668","14,531","21,193","64,814","66,393","65,431","68,704","76,052"
 A000050 ,"75,683","231,506","78,285","155,823","77,537","307,744","71,687","223,376","52,143","158,535","52,678","106,391","53,713","209,467","49,289","153,725","23,540","72,971","25,607","49,431","23,824","98,277","22,398","69,651","13,915","43,886","14,829","29,971","15,142","59,647","13,686","42,957","9,625","29,085","10,778","19,460","8,682","38,630","8,712","26,694","-1,862","-5,880","-1,764","-4,019","-2,255","-10,409","-2,768","-7,753","7,763","23,205","9,014","15,441","6,427","28,221","5,944","18,940","1,687",-203,"-3,288","-1,890","1,399","6,616",904,218,"6,077","23,407","12,302","17,331","5,028","21,605","5,040","18,722",0,0,0,0,0,0,0,0,"6,077","23,407","12,302","17,331","5,028","21,605","5,040","18,722",0,1,0,1,1,-34,-25,-63,"6,077","23,408","12,303","17,332","5,029","21,571","5,015","18,659","1,239,938","1,248,357","1,258,659","1,259,512","1,255,952","76,194","81,772","81,958","83,760","78,341","1,163,745","1,166,585","1,176,701","1,175,752","1,177,611","548,186","562,681","585,286","587,741","587,093","111,285","124,259","141,873","143,916","306,994","436,900","438,422","443,414","443,826","280,099","691,752","685,675","673,373","671,771","668,859"
 A000070 ,"12,225","49,406","40,933","91,654","50,721","169,561","11,604","47,681","3,499","9,479","31,254","53,879","22,625","113,573","3,717","14,041","8,726","39,928","9,679","37,775","28,096","55,988","7,887","33,640","8,067","26,785","12,607","22,756","10,149","41,891","6,779","21,174",660,"13,142","-2,928","15,019","17,947","14,098","1,108","12,465",-178,-410,-237,111,349,-664,-47,69,482,"12,733","-3,165","15,130","18,295","13,433","1,061","12,535",349,459,-383,107,490,377,524,"1,086",133,"12,274","-2,782","15,023","17,805","13,056",537,"11,448",484,"3,366",0,0,0,0,"1,301","2,948",617,"15,640","-2,782","15,023","17,805","13,056","1,838","14,397","4,105",398,"-4,756","-3,707","1,049","1,464","-8,973","5,613","4,722","16,038","-7,538","11,316","18,854","14,519","-7,136","20,010","1,267,437","1,262,887","1,282,613","1,263,550","1,269,944","212,938","212,788","226,731","208,987","210,126","1,054,499","1,050,099","1,055,882","1,054,563","1,059,818","228,904","229,075","241,263","229,442","230,345","87,983","89,703","40,820","30,326","29,170","140,921","139,372","200,444","199,117","201,175","1,038,534","1,033,812","1,041,350","1,034,108","1,039,598"
 A000080 ,"421,712","1,209,836","434,766","788,124","353,358","1,663,246","436,506","1,231,212","232,292","668,645","238,643","436,353","197,710","931,360","238,565","686,871","189,420","541,191","196,123","351,771","155,648","731,887","197,941","544,341","164,413","463,148","168,805","298,736","129,931","608,130","153,855","449,809","25,007","78,042","27,318","53,035","25,717","123,757","44,086","94,531","-15,650","-27,864","-8,732","-12,214","-3,482","-55,591","-14,297","-42,422","9,357","50,178","18,586","40,821","22,235","68,167","29,789","52,109","2,983","15,517","7,275","12,534","5,259","20,910","8,846","17,772","6,374","34,661","11,311","28,287","16,976","47,256","20,943","34,337",0,0,0,0,0,0,0,0,"6,374","34,661","11,311","28,287","16,976","47,256","20,943","34,337",961,"2,509",-289,"1,548","1,836","9,706",499,598,"7,335","37,170","11,022","29,835","18,813","56,962","21,442","34,935","3,264,618","3,283,894","3,273,203","3,336,556","3,385,402","685,795","704,150","660,043","716,126","762,882","2,578,823","2,579,744","2,613,160","2,620,430","2,622,520","1,937,198","1,963,808","1,964,140","1,976,466","2,047,340","1,320,184","1,351,435","1,298,063","1,359,570","1,408,144","617,014","612,373","666,077","616,897","639,196","1,327,420","1,320,085","1,309,063","1,360,090","1,338,062"
 A000100 ,"359,667","964,389","330,474","604,722","274,248","1,120,937","309,966","820,411","269,493","702,522","238,648","433,028","194,380","801,364","224,342","584,963","90,174","261,867","91,825","171,693","79,868","319,573","85,624","235,449","74,224","209,897","74,240","135,673","61,433","248,880","63,461","175,391","15,949","51,970","17,586","36,021","18,435","70,693","22,163","60,057","-9,384","39,678","-2,657","49,063","51,720","74,557","23,364","51,586","6,565","91,648","14,929","85,083","70,154","145,250","45,527","111,643","1,954","21,896","4,757","19,942","15,185","37,765","17,393","32,666","4,611","69,752","10,172","65,141","54,969","107,485","28,134","78,977",0,0,0,0,0,0,0,0,"4,611","69,752","10,172","65,141","54,969","107,485","28,134","78,977",169,"13,977","13,342","13,808",466,"-10,076",-95,185,"4,779","83,729","23,515","78,950","55,435","97,409","28,039","79,162","1,659,708","1,689,794","1,613,033","1,584,415","1,521,855","825,105","876,414","830,248","808,688","787,669","834,603","813,380","782,785","775,727","734,186","310,758","345,623","292,377","298,648","254,335","249,519","270,236","223,852","240,243","211,454","61,239","75,387","68,525","58,405","42,881","1,348,951","1,344,171","1,320,657","1,285,767","1,267,520"
 A000120 ,"1,196,077","3,569,929","1,215,281","2,373,852","1,158,571","4,358,425","1,076,121","3,192,215","1,080,487","3,228,371","1,095,813","2,147,884","1,052,071","3,961,932","976,362","2,904,349","115,590","341,557","119,467","225,968","106,500","396,493","99,758","287,866","78,089","230,429","78,777","152,339","73,563","278,675","68,293","197,129","37,500","111,129","40,691","73,629","32,938","117,819","31,465","90,737","-40,207","-91,699","-28,953","-51,492","-22,539","-134,729","-18,782","-71,107","-2,706","19,430","11,738","22,137","10,398","-16,910","12,683","19,630",353,"2,313","4,958","1,960","-2,998","-4,539","3,612","7,111","-3,059","17,118","6,781","20,177","13,396","-12,371","9,071","12,520",0,0,0,0,0,0,0,0,"-3,059","17,118","6,781","20,177","13,396","-12,371","9,071","12,520",-30,458,258,488,230,843,171,194,"-3,089","17,576","7,039","20,665","13,626","-11,528","9,241","12,714","4,094,131","4,023,988","3,886,951","3,735,984","3,633,034","930,447","974,320","900,682","919,518","879,165","3,163,684","3,049,669","2,986,269","2,816,467","2,753,869","1,796,065","1,722,834","1,592,835","1,455,495","1,368,065","643,634","1,032,146","1,117,175","979,248","896,463","1,152,431","690,689","475,660","476,247","471,602","2,298,066","2,301,154","2,294,115","2,280,489","2,264,969"
 A000140 ,"1,118","42,545","1,171","41,427","40,256","43,572","1,186","42,395",0,0,0,0,0,0,0,0,"1,118","42,545","1,171","41,427","40,256","43,572","1,186","42,395",548,"2,159",977,"1,612",635,"2,663",587,"1,685",570,"40,386",194,"39,816","39,621","40,909",599,"40,710","47,046","-10,581","-50,922","-57,628","-6,705","-24,707","-6,942","-17,949","47,616","29,804","-50,728","-17,812","32,916","16,202","-6,342","22,761","15,323",566,"-15,129","-14,756",372,"-2,259",376,"1,651","32,294","29,238","-35,599","-3,056","32,544","18,461","-6,719","21,111",0,0,0,0,0,0,0,0,"32,294","29,238","-35,599","-3,056","32,544","18,461","-6,719","21,111",-155,"4,382","2,885","4,537","1,652",24,"-1,637",-780,"32,139","33,620","-32,715","1,481","34,196","18,484","-8,356","20,331","1,629,668","1,664,673","1,817,555","1,779,992","1,775,839","1,092","1,005","41,165","3,677","1,139","1,628,576","1,663,669","1,776,390","1,776,316","1,774,700","639,484","706,628","826,795","819,041","813,041","548,400","511,521","631,777","494,325","578,180","91,084","195,107","195,018","324,716","234,861","990,184","958,045","990,760","960,952","962,798"
 A000150 ,"448,939","1,500,519","597,986","1,051,579","453,593","1,873,556","437,757","1,407,865","348,199","1,016,527","351,218","668,328","317,110","1,377,076","343,026","1,055,124","100,740","483,992","246,768","383,251","136,483","496,480","94,731","352,741","85,674","243,857","92,754","158,182","65,429","283,079","72,641","204,264","15,066","240,135","154,014","225,069","71,054","213,401","22,091","148,476","-14,898","-61,205","-12,057","-46,307","-34,250","-53,366","-7,945","-24,787",168,"178,930","141,958","178,762","36,805","160,035","14,145","123,689",-495,"5,539","1,512","6,035","4,523","36,711","7,483","36,024",663,"173,391","140,446","172,728","32,282","123,324","6,663","87,665",0,0,0,0,0,0,0,0,663,"173,391","140,446","172,728","32,282","123,324","6,663","87,665",455,"2,448","-1,409","1,994","3,403","5,072","-1,938",-773,"1,118","175,839","139,037","174,721","35,685","128,396","4,724","86,893","3,649,438","3,662,042","3,659,485","3,478,223","3,742,331","745,057","744,063","793,624","713,534","993,461","2,904,381","2,917,979","2,865,861","2,764,689","2,748,870","1,514,890","1,528,612","1,635,417","1,368,966","1,675,129","969,092","1,008,927","1,143,507","870,354","1,094,170","545,798","519,685","491,910","498,612","580,959","2,134,548","2,133,430","2,024,068","2,109,256","2,067,202"
 A000180 ,"1,903","5,956","2,090","4,053","1,962","8,723","2,254","6,502",0,0,0,0,0,0,0,0,"1,903","5,956","2,090","4,053","1,962","8,723","2,254","6,502","1,745","5,458","1,913","3,713","1,799","7,637","1,981","5,658",158,498,177,340,163,"1,086",273,843,410,761,135,351,216,875,111,632,568,"1,259",311,690,379,"1,961",384,"1,475",0,0,0,0,0,-23,0,0,568,"1,259",311,690,379,"1,984",384,"1,475",0,0,0,0,0,0,0,0,568,"1,259",311,690,379,"1,984",384,"1,475",0,"155,807",0,"155,807","155,807",86,0,0,568,"157,066",311,"156,497","156,186","2,070",384,"1,475","316,856","316,429","318,240","118,769","90,153","47,602","47,145","48,931","48,906","20,274","269,254","269,284","269,309","69,863","69,879","45,276","45,079","47,201","1,314","1,389",957,816,"2,984",840,850,"44,319","44,263","44,217",474,539,"271,579","271,350","271,039","117,456","88,764"
